Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,  ITC  ,285.85,283.45,0.00843146,0.01222295,0.0122069,0.23321253,286.35,283.95,0.00841667,0.01216465,0.01214884,0.23210325,0.0122069,
27-Jul-26,UNIONBANK,,,-0.00229001,0.02240712,0.02235164,0.42702749,170.18,170.49,-0.00181994,0.02248316,0.0224272,0.42847097,0.0224272,0.42847097
27-Jul-26,ASHOKLEY,155.05,151.07,0.02600434,0.02272301,0.0227407,0.43446046,155.32,151.36,0.0258264,0.02231642,0.02233528,,0.0227407,0.43446046
27-Jul-26,  BDL  ,1256.4,1243.0,0.01072268,0.02584813,0.02579466,0.49280619,,1242.8,0.01088359,0.02712597,0.02706904,0.51715337,0.02706904,0.51715337
  27-Jul-26  ,  IOC  ,141.5,138.47,0.02164602,0.01757734,0.01759994,0.33624642,141.76,138.65,0.02218271,,0.01779918,0.34005281,0.01779918,0.34005281
27-Jul-26,AUROPHARMA,1549.4,1532.0,0.01129369,0.01728606,0.01726134,0.32977734,1551.2,1534.6,0.01075906,0.01736365,0.01733699,0.33122276,0.01733699,0.33122276
27-Jul-26,POWERGRID,288.85,288.2,0.00225284,0.01413154,0.01409705,0.2693238,288.65,288.95,-0.00103878,0.01374224,0.01370807,0.26189228,0.01409705,0.2693238
27-Jul-26,VMM,110.31,108.04,0.02079306,0.01874492,0.01875566,0.35832644,110.34,107.97,0.0217131,0.01891827,0.01893325,0.36171915,0.01893325,0.36171915
27-Jul-26,RELIANCE,,1278.0,0.00156372,0.01359954,,0.25917885,1279.7,1279.4,,0.01342255,0.01338878,0.25579231,0.01356604,0.25917885
  27-Jul-26  ,  BANKBARODA  ,244.05,246.45,-0.00978601,0.01878033,0.01874608,0.35814326,244.45,246.55,-0.00855402,0.01898786,0.01895002,0.36203957,0.01895002,0.36203957
27-Jul-26,KOTAKBANK,,384.75,-0.00025994,0.01437008,0.01433415,,385.65,385.5,0.00038903,0.01405839,0.01402329,0.26791451,0.01433415,0.27385354
27-Jul-26,  LODHA  ,1198.75,1144.1,0.04666105,0.02501093,0.02516562,0.48078853,1197.8,1144.95,0.04512557,0.02455325,,0.47186858,0.02516562,0.48078853
  27-Jul-26  ,SBIN,1020.6,1015.0,0.00550208,0.01524827,0.01521509,0.29068379,,1016.6,0.00559126,0.01533156,0.0152984,0.2922755,0.0152984,0.2922755
27-Jul-26,  VEDL  ,264.65,264.65,0.0,0.02316449,0.02310643,0.4414477,265.35,264.8,0.00207489,0.02323942,0.0231817,,0.0231817,0.44288574
27-Jul-26,NATIONALUM,339.4,343.9,-0.01317156,0.02661028,0.02656006,0.50742927,339.8,344.7,-0.01431726,0.02608259,0.02603696,0.49743547,0.02656006,0.50742927
  27-Jul-26  ,  PFC  ,420.1,,0.01971218,0.02010895,0.02010699,0.38414348,420.1,412.4,0.01849903,0.02041112,0.02040191,0.38977798,0.02040191,
  27-Jul-26  ,ADANIENT,3036.6,3026.4,0.00336467,0.02429408,,0.46299735,3045.0,3024.1,0.00688737,,0.02462198,0.47040228,0.02462198,0.47040228
27-Jul-26,VOLTAS,1319.3,1327.3,-0.00604551,0.02054032,0.02049325,0.39152297,1321.2,1328.6,-0.00558534,0.02056334,0.02051565,0.39195087,0.02051565,0.39195087
27-Jul-26,FOCIT,35452.32,34725.14,0.02072477,0.01548729,0.015518,0.29647095,35507.0,,,0.01514408,0.01516386,0.28970521,0.015518,0.29647095
27-Jul-26,CHOLAFIN,1784.9,1724.4,0.03448323,0.021378,0.02146347,0.41005894,1787.2,1725.8,0.03495944,0.02108458,0.02117659,0.40457821,0.02146347,0.41005894
27-Jul-26,  MAXHEALTH  ,1114.5,1080.4,0.03107453,0.01864844,0.01873097,0.35785473,1112.5,1079.6,0.03001913,0.01840949,0.0184857,0.35316885,0.01873097,0.35785473
,  ADANIPORTS  ,1770.4,1768.3,0.00118688,0.01948074,0.01943218,0.37125124,1772.8,1770.6,,0.01939738,0.01934907,0.36966341,0.01943218,0.37125124
