INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,ALKEM     ,28/07/2026,00005612.50,00005689.50,00005590.50,00005606.50,000000000758250,     3672242437.50,           652875,             5223,             3810
FUTSTK    ,ALKEM     ,25/08/2026,00005699.00,00005712.50,00005615.50,00005631.00,000000001324000,     3874789500.00,           686125,             5489,             3944
FUTSTK    ,ALKEM     ,29/09/2026,00005721.00,00005729.00,00005660.00,00005679.00,000000000004125,       12802812.50,             2250,               18,               17
FUTSTK    ,AMBER     ,28/07/2026,00007247.00,00007356.50,00007247.00,00007308.50,000000000535000,     3889965550.00,           531500,             5315,             3828
FUTSTK    ,AMBER     ,25/08/2026,00007247.00,00007369.50,00007247.00,00007308.50,000000001097100,     4185313200.00,           571800,             5718,             3926
FUTSTK    ,AMBER     ,29/09/2026,00007269.50,00007369.00,00007260.00,00007331.00,000000000010100,       19072700.00,             2600,               26,               26
FUTSTK    ,AMBUJACEM ,28/07/2026,00000428.60,00000433.00,00000424.25,00000431.60,000000031726800,    11527495320.00,         26761200,            22301,             9416
FUTSTK    ,AMBUJACEM ,25/08/2026,00000427.55,00000436.10,00000425.40,00000433.85,000000069157200,    12242817120.00,         28276800,            23564,            10249
FUTSTK    ,AMBUJACEM ,29/09/2026,00000428.95,00000438.00,00000427.85,00000436.60,000000002175600,      349872000.00,           802800,              669,              610
FUTSTK    ,ANGELONE  ,28/07/2026,00000310.05,00000312.35,00000304.60,00000305.50,000000009065000,     2869807500.00,          9322500,             3729,             3123
FUTSTK    ,ANGELONE  ,25/08/2026,00000312.65,00000312.65,00000306.00,00000306.60,000000022495000,     3569686625.00,         11580000,             4632,             3899
FUTSTK    ,ANGELONE  ,29/09/2026,00000311.80,00000312.05,00000307.70,00000308.40,000000000755000,       47315500.00,           152500,               61,               57
FUTSTK    ,APLAPOLLO ,28/07/2026,00001836.70,00001865.20,00001826.00,00001850.10,000000002084250,     3117939300.00,          1680700,             4802,             2606
FUTSTK    ,APLAPOLLO ,25/08/2026,00001845.00,00001874.90,00001825.10,00001858.00,000000003857350,     3114940465.00,          1671250,             4775,             2714
FUTSTK    ,APLAPOLLO ,29/09/2026,00001847.40,00001878.10,00001847.40,00001864.00,000000000457100,      277227265.00,           148400,              424,              250
FUTSTK    ,APOLLOHOSP,28/07/2026,00008790.00,00008865.00,00008752.50,00008849.50,000000000427750,     3953196437.50,           448625,             3589,             3107
FUTSTK    ,APOLLOHOSP,25/08/2026,00008806.50,00008900.50,00008793.50,00008891.00,000000001870750,     4387155812.50,           495625,             3965,             3500
FUTSTK    ,APOLLOHOSP,29/09/2026,00008905.50,00008958.50,00008848.00,00008942.50,000000000360875,       80131125.00,             9000,               72,               67
FUTSTK    ,ASHOKLEY  ,28/07/2026,00000154.29,00000155.50,00000153.03,00000155.32,000000060555000,     7701181750.00,         49970000,             9994,             7284
FUTSTK    ,ASHOKLEY  ,25/08/2026,00000154.98,00000156.40,00000153.77,00000156.14,000000125650000,     8990474100.00,         58005000,            11601,             8664
FUTSTK    ,ASHOKLEY  ,29/09/2026,00000155.65,00000157.26,00000154.86,00000157.09,000000003020000,      188591400.00,          1210000,              242,              208
FUTSTK    ,ASIANPAINT,28/07/2026,00002665.00,00002725.90,00002665.00,00002710.00,000000002779750,    10438810150.00,          3848000,            15392,             9857
FUTSTK    ,ASIANPAINT,25/08/2026,00002665.20,00002740.70,00002665.20,00002725.70,000000007021500,    10787105400.00,          3955250,            15821,            10089
FUTSTK    ,ASIANPAINT,29/09/2026,00002721.00,00002755.00,00002721.00,00002744.30,000000001296500,       63802425.00,            23250,               93,               88
FUTSTK    ,ASTRAL    ,28/07/2026,00001480.00,00001484.90,00001446.40,00001461.30,000000001619675,     4391782295.00,          2990300,             7036,             6223
FUTSTK    ,ASTRAL    ,25/08/2026,00001439.00,00001446.80,00001422.00,00001430.30,000000007133625,     4743253172.50,          3301400,             7768,             6760
FUTSTK    ,ASTRAL    ,29/09/2026,00001408.00,00001429.00,00001408.00,00001419.90,000000000094775,       72375332.50,            51000,              120,              116
FUTSTK    ,AUBANK    ,28/07/2026,00001019.00,00001060.80,00001019.00,00001050.90,000000007710000,     9804739000.00,          9401000,             9401,             7226
FUTSTK    ,AUBANK    ,25/08/2026,00001029.00,00001066.20,00001026.60,00001055.60,000000021791000,    13110814600.00,         12519000,            12519,             9641
FUTSTK    ,AUBANK    ,29/09/2026,00001049.30,00001071.00,00001037.90,00001062.50,000000002351000,      237250900.00,           225000,              225,              195
FUTSTK    ,AUROPHARMA,28/07/2026,00001525.00,00001568.90,00001525.00,00001551.20,000000003310450,     4759532690.00,          3057450,             5559,             4071
FUTSTK    ,AUROPHARMA,25/08/2026,00001540.40,00001577.40,00001540.40,00001558.50,000000009155850,     4697845350.00,          3002450,             5459,             3983
FUTSTK    ,AUROPHARMA,29/09/2026,00001563.40,00001584.60,00001563.40,00001579.70,000000000035200,       33742115.00,            21450,               39,               30
FUTSTK    ,AXISBANK  ,28/07/2026,00001239.00,00001239.00,00001222.10,00001228.70,000000027729375,    23496224312.50,         19142500,            30628,            20023
FUTSTK    ,AXISBANK  ,25/08/2026,00001246.70,00001246.70,00001229.50,00001235.70,000000072073750,    24807339312.50,         20095625,            32153,            21223
FUTSTK    ,AXISBANK  ,29/09/2026,00001248.10,00001248.50,00001237.20,00001243.10,000000006277500,      281868125.00,           226875,              363,              362
FUTSTK    ,OBEROIRLTY,28/07/2026,00001831.10,00001853.80,00001821.20,00001830.00,000000001794800,     4192901790.00,          2286200,             6532,             4433
FUTSTK    ,OBEROIRLTY,25/08/2026,00001825.00,00001846.20,00001812.20,00001839.70,000000005203800,     4768946455.00,          2598400,             7424,             5185
FUTSTK    ,OBEROIRLTY,29/09/2026,00001818.00,00001834.60,00001815.00,00001834.60,000000000047600,        9576840.00,             5250,               15,               15
FUTSTK    ,OFSS      ,28/07/2026,00010667.00,00011189.00,00010667.00,00011120.00,000000000257100,     6724194600.00,           607200,             6072,             5512
FUTSTK    ,OFSS      ,25/08/2026,00010799.00,00011234.00,00010749.00,00011136.00,000000001173200,     7701281400.00,           693900,             6939,             6226
FUTSTK    ,OFSS      ,29/09/2026,00010899.00,00011224.00,00010854.00,00011151.00,000000000020000,      145140700.00,            13100,              131,              119
FUTSTK    ,OIL       ,28/07/2026,00000446.25,00000447.00,00000438.65,00000441.85,000000004643800,     2477693330.00,          5587400,             3991,             3413
FUTSTK    ,OIL       ,25/08/2026,00000439.30,00000442.60,00000435.00,00000439.00,000000015353800,     2602240830.00,          5913600,             4224,             3616
FUTSTK    ,OIL       ,29/09/2026,00000436.35,00000440.60,00000433.55,00000437.10,000000000190400,       16561580.00,            37800,               27,               21
FUTSTK    ,ONGC      ,28/07/2026,00000246.60,00000248.06,00000237.90,00000238.57,000000043143750,     7028313682.50,         29081250,            12925,            10271
